# ammount | bubble | Insertion | Selection | Merge | Quick
100000 15793649 335 23977482 13116
200000 63563087 668 95953447 27486
300000 144062334 1009 215596703 41812
400000 255122724 1345 383388755 55676
500000 399162199 1701 599203602 72133
600000 575545703 2034 863774993 132133
700000 786796994 2387 1177924290 101786
800000 1030963433 2712 1539786647 129705
900000 1312111241 3053 1951775665 175414
1000000 1626224736 3390 2412127263 158420
