# size | bubble | Insertion | Selection | Merge | Quick
100000 704982704 2469929472 704982704 1536422 0
200000 2820030816 1287314740 2820030816 4809428 0
300000 2050177040 736033617 2050177040 9893724 0
400000 2690388672 830388918 2690388672 16839190 0
500000 445698416 1509416267 445698416 25676493 0
600000 3906040864 3005634268 3906040864 36445479 0
700000 186514128 714112571 186514128 49167971 0
800000 2172020096 3490548274 2172020096 63858501 0
900000 1272624176 2406243497 1272624176 80537194 0
1000000 1783293664 1875372083 1783293664 99212606 0
