# size | bubble | Insertion | Selection | Merge | Quick
100000 15287 1302 3683 17 9
200000 61208 5187 14667 34 19
300000 139230 11823 33155 53 31
400000 246538 21057 58900 70 42
500000 376231 31935 89802 90 52
600000 541695 46133 128878 104 63
700000 737783 62966 175735 122 74
800000 964955 82629 230034 145 87
900000 1216105 104112 289684 159 98
1000000 1517990 130784 363389 182 110
