# size | bubble | Insertion | Selection | Merge | Quick
100000 2469929472 99999 98126 1536422 378858
200000 3757244212 299998 294262 4809428 1185652
300000 198310533 599997 588501 9893724 2437245
400000 1028699451 999996 980855 16839190 4127755
500000 2538115718 1499995 1471204 25676493 6288932
600000 1248782690 2099994 2059722 36445479 8894424
700000 1962895261 2799993 2746421 49167971 12012567
800000 1158476239 3599992 3531063 63858501 15589527
900000 3564719736 4499991 4414246 80537194 19664020
1000000 1145124523 5499990 5395279 99212606 24189247
