# size | bubble | Insertion | Selection | Merge | Quick
100000 704982704 704982704 704982704 853904 0
200000 2820030816 2820030816 2820030816 2661712 0
300000 2050177040 2050177040 2050177040 5458976 0
400000 2690388672 2690388672 2690388672 9274592 0
500000 445698416 445698416 445698416 14057808 0
600000 3906040864 3906040864 3906040864 19952336 0
700000 186514128 186514128 186514128 26952672 0
800000 2172020096 2172020096 2172020096 34983904 0
900000 1272624176 1272624176 1272624176 44068144 0
1000000 1783293664 1783293664 1783293664 54134576 0
